UserID,Username,Password,Email,Address,Phone,RoleID
80,user80,password8880,user80@example.com,80 Main St,429-871-6636,1
81,user81,password8991,user81@example.com,81 Main St,523-226-3259,2
82,user82,password9102,user82@example.com,82 Main St,219-400-4474,2
83,user83,password9213,user83@example.com,83 Main St,633-839-2154,2
84,user84,password9324,user84@example.com,84 Main St,394-828-8082,1
85,user85,password9435,user85@example.com,85 Main St,721-626-3064,1
86,user86,password9546,user86@example.com,86 Main St,263-982-1715,2
87,user87,password9657,user87@example.com,87 Main St,978-846-6229,2
88,user88,password9768,user88@example.com,88 Main St,599-858-7671,1
89,user89,password9879,user89@example.com,89 Main St,257-873-3687,1
90,user90,password9990,user90@example.com,90 Main St,537-352-5284,2
91,user91,password10101,user91@example.com,91 Main St,374-464-6338,2
92,user92,password10212,user92@example.com,92 Main St,807-188-1698,1
93,user93,password10323,user93@example.com,93 Main St,367-353-2262,2
94,user94,password10434,user94@example.com,94 Main St,429-929-2862,2
95,user95,password10545,user95@example.com,95 Main St,644-116-2663,2
96,user96,password10656,user96@example.com,96 Main St,876-218-3339,2
97,user97,password10767,user97@example.com,97 Main St,481-986-9480,2
98,user98,password10878,user98@example.com,98 Main St,318-853-8290,1
99,user99,password10989,user99@example.com,99 Main St,742-904-8421,2
100,user100,password11100,user100@example.com,100 Main St,187-930-7247,1
